Этап,Специальность,Что делает на объекте,Типовые документы и допуски,Как проверить,Запросы для поиска,Ориентир по рынку (СПб/ЛО),Что уточнить у компании
1. Подготовительные и земляные работы,Машинист экскаватора,"Котлованы и траншеи, планировка, погрузка грунта","Удостоверение тракториста-машиниста нужной категории (гусеничный — «E», колёсный — «C»/«D»), свидетельство о профессии","Фото удостоверений; на какой технике работал (марки, вес); пробная смена",машинист экскаватора; экскаваторщик,нет данных — уточнить,Своя техника компании или нужна аренда с экипажем
1. Подготовительные и земляные работы,Машинист бульдозера,"Планировка площадки, отсыпка, перемещение грунта","Удостоверение тракториста-машиниста кат. «E», свидетельство о профессии",Фото удостоверений; опыт планировки по отметкам/GPS,машинист бульдозера; бульдозерист,нет данных — уточнить,
1. Подготовительные и земляные работы,Машинист фронтального погрузчика,Погрузка и перемещение сыпучих материалов,Удостоверение тракториста-машиниста кат. «C» или «D» (по мощности машины),Фото удостоверений,машинист фронтального погрузчика,нет данных — уточнить,
1. Подготовительные и земляные работы,Машинист катка,"Уплотнение грунта, щебня, асфальта",Удостоверение тракториста-машиниста нужной категории,Фото удостоверений,машинист катка; катковщик,нет данных — уточнить,
1. Подготовительные и земляные работы,Водитель самосвала,"Перевозка грунта, песка, щебня",Водительское удостоверение кат. «C» (тягач с полуприцепом — «CE»),"Права, стаж, опыт на стройке/карьере",водитель самосвала; водитель кат C,нет данных — уточнить,Машины компании или нужны перевозчики со своими самосвалами
1. Подготовительные и земляные работы,Геодезист,"Разбивка осей, контроль отметок, исполнительные съёмки",Профильное образование или опыт; работа с тахеометром/GNSS,"Объекты в резюме, пробное задание",геодезист строительный; геодезист на стройку,нет данных — уточнить,Чьё оборудование
1. Подготовительные и земляные работы,Разнорабочий / подсобный рабочий,"Вспомогательные работы, погрузка-разгрузка, уборка, помощь бригадам",Без специальных требований; медосмотр,"Короткое интервью, пробная смена",разнорабочий; подсобный рабочий; подсобник на стройку,"≈3 500–4 000 ₽/смена; 75–160 тыс. ₽/мес (объявления Авито, СПб и ЛО, 2026)",Самая массовая позиция — хорошо ищется через Авито и местные группы
2. Металлоконструкции (каркасы корпусов),Монтажник металлоконструкций (МК),"Сборка и монтаж колонн, ферм, балок, связей, прогонов; болтовые соединения","Свидетельство о профессии (разряд 3–6), удостоверение стропальщика, допуск к работам на высоте; желательно — навыки сварки","Фото удостоверений; какие здания монтировал, вес элементов, высота; пробная смена",монтажник металлоконструкций; монтажник МК; монтажник ангаров; монтажник стальных конструкций,"вахта ≈150–250 тыс. ₽/мес на руки; ≈3 500–5 500 ₽/смена (объявления СПб/ЛО, 2026)",Часто работают бригадами с бригадиром и инструментом; оплата бывает за тонну
2. Металлоконструкции (каркасы корпусов),Электросварщик / электрогазосварщик (НАКС),"Сварка металлоконструкций, закладных, узлов","Аттестация НАКС (для МК — группа «СК», способы РД и/или МП), разряд 4–6",Проверка удостоверения в реестре НАКС; пробный шов/допускные образцы,сварщик НАКС СК; электросварщик РД; сварщик полуавтомат МП,"≈7 000–9 000 ₽/смена; ≈240–300 тыс. ₽/мес на руки (объявления СПб/ЛО, 2025–2026)",Какие группы и способы нужны; дефицитная позиция
2. Металлоконструкции (каркасы корпусов),Стропальщик,Строповка и перемещение грузов краном,"Удостоверение стропальщика, актуальная проверка знаний",Фото удостоверения и даты последней проверки знаний,стропальщик,нет данных — уточнить,Часто совмещается с монтажником
